Date,Open,High,Low,Close,Adj Close,Volume,negative,positive,neutral,compound
2001-08-17,0.321429,0.329464,0.32125,0.322679,0.276654,208426400.0,0.125,0.079,0.795,-0.9987
2001-08-20,0.323929,0.325536,0.318036,0.323571,0.277418,252302400.0,0.122,0.11,0.768,-0.99
2001-08-21,0.323929,0.323929,0.316071,0.32,0.274357,185701600.0,0.126,0.091,0.783,-0.9979
2001-08-22,0.320357,0.325893,0.314464,0.325179,0.278797,173975200.0,0.136,0.103,0.762,-0.996
2001-08-23,0.325,0.3275,0.313929,0.318036,0.272673,217078400.0,0.155,0.079,0.765,-0.9996
2001-08-24,0.321429,0.3325,0.315179,0.331607,0.284308,290332000.0,0.14,0.096,0.764,-0.9989
2001-08-27,0.332143,0.344643,0.324286,0.337857,0.289667,175644000.0,0.117,0.104,0.779,-0.9902
2001-08-28,0.3375,0.341786,0.328571,0.328571,0.281705,171735200.0,0.14,0.097,0.763,-0.9986
2001-08-29,0.329286,0.33625,0.318393,0.318393,0.272979,239971200.0,0.161,0.102,0.737,-0.9993
2001-08-30,0.316786,0.324643,0.308571,0.318393,0.272979,368692800.0,0.135,0.088,0.777,-0.9991
2001-08-31,0.316607,0.332143,0.315179,0.33125,0.284002,216904800.0,0.161,0.077,0.762,-0.9995
2001-09-04,0.330357,0.340714,0.324643,0.325893,0.279409,348213600.0,0.112,0.122,0.766,0.7899
2001-09-05,0.325714,0.338393,0.323571,0.33125,0.284002,360057600.0,0.149,0.095,0.757,-0.9992
2001-09-06,0.328571,0.338036,0.315179,0.316429,0.271295,282368800.0,0.131,0.097,0.772,-0.9976
2001-09-07,0.3125,0.323214,0.307143,0.308571,0.264558,241830400.0,0.147,0.095,0.758,-0.9987
2001-09-10,0.303571,0.3125,0.302143,0.310179,0.265937,308845600.0,0.144,0.077,0.779,-0.9986
2001-09-17,0.285714,0.304821,0.280893,0.303393,0.260118,458007200.0,0.186,0.1,0.715,-0.9991
2001-09-18,0.301786,0.316429,0.28875,0.290714,0.249248,327101600.0,0.159,0.102,0.739,-0.998
2001-09-19,0.294643,0.305357,0.278571,0.303929,0.260578,373318400.0,0.183,0.105,0.713,-0.9996
2001-09-20,0.290893,0.302679,0.276786,0.28,0.240062,411174400.0,0.165,0.085,0.75,-0.9995
2001-09-21,0.264286,0.290179,0.262143,0.280893,0.240828,570516800.0,0.131,0.103,0.766,-0.9885
2001-09-24,0.287679,0.300714,0.284821,0.29375,0.251851,294537600.0,0.167,0.121,0.712,-0.9981
2001-09-25,0.288214,0.289643,0.274107,0.2775,0.237919,374404800.0,0.178,0.089,0.733,-0.9997
2001-09-26,0.282321,0.28375,0.266607,0.270536,0.231948,493796800.0,0.162,0.11,0.728,-0.9988
2001-09-27,0.272321,0.28125,0.271429,0.276964,0.237459,322240800.0,0.161,0.065,0.774,-0.9991
2001-09-28,0.280536,0.284107,0.274821,0.276964,0.237459,365108800.0,0.138,0.09,0.771,-0.9988
2001-10-01,0.276607,0.285536,0.271964,0.2775,0.237919,208208000.0,0.203,0.059,0.738,-0.9993
2001-10-02,0.275536,0.282679,0.265714,0.26875,0.230417,235883200.0,0.183,0.063,0.755,-0.9996
2001-10-03,0.266964,0.274286,0.264821,0.2675,0.229345,683043200.0,0.133,0.074,0.793,-0.9977
2001-10-04,0.274107,0.290179,0.267679,0.283571,0.243124,401122400.0,0.134,0.085,0.781,-0.9962
